#            bin              r          ngals             et        eterror         rkappa          kappa     kappaerror             nu
               0        110.029             32        0.16982        0.00665            100        0.23463        0.00425       55.15223
               1        133.205             48        0.10206        0.00543       121.0637        0.16981        0.00341       49.83184
               2        161.263             84          0.076        0.00411      146.56419        0.13101         0.0027       48.56502
               3        195.231            133        0.06851        0.00326      177.43604        0.10224        0.00219       46.64325
               4        236.354            206        0.04781        0.00262      214.81063        0.07626         0.0018       42.33556
               5        286.139            340         0.0333        0.00204       260.0577        0.05827         0.0015       38.93437
               6         346.41            438        0.02885         0.0018      314.83547        0.04597        0.00128       35.85197
               7        419.377            619        0.02426        0.00151      381.15147        0.03534        0.00109       32.55491
               8        507.713            885        0.01801        0.00127      461.43607        0.02641        0.00092       28.61852
               9        614.656           1334        0.01214        0.00103      558.63157        0.01994        0.00079       25.19599
              10        744.126           1920        0.01144        0.00086      676.30005        0.01609         0.0007       22.93441
              11        900.866           2875        0.00942         0.0007      818.75386        0.01235        0.00065       18.96054
              12       1090.622           4205        0.00785        0.00058      991.21372        0.00945         0.0007       13.53169
