#            bin              r          ngals             et        eterror         rkappa          kappa     kappaerror             nu
               0        110.029             32         0.5348        0.01903            100        0.76533        0.01216       62.91333
               1        133.205             48        0.29448        0.01554       121.0637        0.56128        0.00974        57.6026
               2        161.263             84        0.25137        0.01174      146.56419        0.44969        0.00771       58.29462
               3        195.231            133         0.1957        0.00933      177.43604        0.35464        0.00627       56.58028
               4        236.354            206        0.17292         0.0075      214.81063        0.28108        0.00515       54.57138
               5        286.139            340        0.11573        0.00584       260.0577        0.21612        0.00428       50.49631
               6         346.41            438         0.1019        0.00514      314.83547        0.17368        0.00367       47.36727
               7        419.377            619        0.09145        0.00433      381.15147        0.13655         0.0031       43.98259
               8        507.713            885        0.06894        0.00362      461.43607        0.10305        0.00264       39.05146
               9        614.656           1334        0.04909        0.00295      558.63157        0.07846        0.00226       34.66469
              10        744.126           1920        0.04362        0.00246      676.30005        0.06255        0.00201       31.18517
              11        900.866           2875        0.03683        0.00201      818.75386        0.04867        0.00186        26.1209
              12       1090.622           4205        0.03121        0.00166      991.21372        0.03756          0.002       18.80488
