#            bin              r          ngals             et        eterror         rkappa          kappa     kappaerror             nu
               0        110.029             32        0.17706        0.00685            100        0.24389        0.00438       55.71152
               1        133.205             48         0.1015        0.00559       121.0637         0.1763        0.00351        50.2774
               2        161.263             84        0.08184        0.00423      146.56419        0.13776        0.00278       49.62327
               3        195.231            133        0.07155        0.00336      177.43604        0.10675        0.00226       47.32559
               4        236.354            206        0.04864         0.0027      214.81063        0.07961        0.00185       42.95117
               5        286.139            340        0.03528         0.0021       260.0577        0.06135        0.00154       39.83143
               6         346.41            438        0.03044        0.00185      314.83547        0.04831        0.00132        36.6089
               7        419.377            619        0.02565        0.00156      381.15147        0.03708        0.00112       33.19319
               8        507.713            885        0.01854         0.0013      461.43607        0.02762        0.00095       29.08757
               9        614.656           1334        0.01342        0.00106      558.63157          0.021        0.00081       25.78363
              10        744.126           1920        0.01173        0.00088      676.30005        0.01659        0.00072       22.98009
              11        900.866           2875        0.00983        0.00072      818.75386        0.01279        0.00067       19.07492
              12       1090.622           4205        0.00805         0.0006      991.21372        0.00969        0.00072       13.47673
