#            bin              r          ngals             et        eterror         rkappa          kappa     kappaerror             nu
               0        110.029             32        0.53941        0.01903            100        0.77335        0.01216       63.57523
               1        133.205             48        0.28414        0.01554       121.0637        0.56754        0.00974       58.24812
               2        161.263             84        0.26223        0.01174      146.56419           0.46        0.00771       59.63376
               3        195.231            133        0.20108        0.00933      177.43604        0.36078        0.00627       57.56166
               4        236.354            206        0.17126         0.0075      214.81063        0.28516        0.00515       55.36486
               5        286.139            340           0.12        0.00584       260.0577        0.22092        0.00428       51.62084
               6         346.41            438        0.10464        0.00514      314.83547        0.17684        0.00367       48.23223
               7        419.377            619        0.09325        0.00433      381.15147        0.13866         0.0031       44.66505
               8        507.713            885        0.06989        0.00362      461.43607        0.10447        0.00264       39.59213
               9        614.656           1334        0.05193        0.00295      558.63157        0.07954        0.00226       35.14582
              10        744.126           1920          0.043        0.00246      676.30005        0.06221        0.00201       31.01568
              11        900.866           2875         0.0374        0.00201      818.75386        0.04867        0.00186       26.12508
              12       1090.622           4205        0.03065        0.00166      991.21372        0.03688          0.002       18.46369
